Source,Target,Type,Kind,Id,Label,Weight
33,82,Undirected,Familienverhältnis,0,,5
58,59,Undirected,Familienverhältnis,1,,5
1,82,Undirected,Familienverhältnis,2,,5
2,180,Undirected,Familienverhältnis,3,,5
104,426,Undirected,Familienverhältnis,4,,5
15,79,Undirected,Familienverhältnis,5,,5
187,34,Directed,Geschäftsbeziehung (bezahlt),7,,2
187,76,Directed,Geschäftsbeziehung (bezahlt),8,,2
187,103,Directed,Geschäftsbeziehung (bezahlt),9,,2
187,99,Directed,Geschäftsbeziehung (bezahlt),10,,2
187,127,Directed,Geschäftsbeziehung (bezahlt),11,,2
187,129,Directed,Geschäftsbeziehung (bezahlt),12,,2
187,133,Directed,Geschäftsbeziehung (bezahlt),13,,2
187,137,Directed,Geschäftsbeziehung (bezahlt),14,,2
187,138,Directed,Geschäftsbeziehung (bezahlt),15,,2
187,139,Directed,Geschäftsbeziehung (bezahlt),16,,2
187,153,Directed,Geschäftsbeziehung (bezahlt),17,,2
187,155,Directed,Geschäftsbeziehung (bezahlt),18,,2
187,159,Directed,Geschäftsbeziehung (bezahlt),19,,2
187,161,Directed,Geschäftsbeziehung (bezahlt),20,,2
187,162,Directed,Geschäftsbeziehung (bezahlt),21,,2
187,163,Directed,Geschäftsbeziehung (bezahlt),22,,2
187,164,Directed,Geschäftsbeziehung (bezahlt),23,,2
187,165,Directed,Geschäftsbeziehung (bezahlt),24,,2
187,167,Directed,Geschäftsbeziehung (bezahlt),25,,2
187,168,Directed,Geschäftsbeziehung (bezahlt),26,,2
187,176,Directed,Geschäftsbeziehung (bezahlt),27,,2
187,177,Directed,Geschäftsbeziehung (bezahlt),28,,2
187,181,Directed,Geschäftsbeziehung (bezahlt),29,,2
187,182,Directed,Geschäftsbeziehung (bezahlt),30,,2
187,183,Directed,Geschäftsbeziehung (bezahlt),31,,2
187,184,Directed,Geschäftsbeziehung (bezahlt),32,,2
187,185,Directed,Geschäftsbeziehung (bezahlt),33,,2
187,186,Directed,Geschäftsbeziehung (bezahlt),34,,2
187,189,Directed,Geschäftsbeziehung (bezahlt),35,,2
187,198,Directed,Geschäftsbeziehung (bezahlt),36,,2
187,199,Directed,Geschäftsbeziehung (bezahlt),37,,2
187,200,Directed,Geschäftsbeziehung (bezahlt),38,,2
187,201,Directed,Geschäftsbeziehung (bezahlt),39,,2
187,204,Directed,Geschäftsbeziehung (bezahlt),40,,2
187,205,Directed,Geschäftsbeziehung (bezahlt),41,,2
187,206,Directed,Geschäftsbeziehung (bezahlt),42,,2
187,216,Directed,Geschäftsbeziehung (bezahlt),43,,2
187,217,Directed,Geschäftsbeziehung (bezahlt),44,,2
187,218,Directed,Geschäftsbeziehung (bezahlt),45,,2
187,219,Directed,Geschäftsbeziehung (bezahlt),46,,2
187,220,Directed,Geschäftsbeziehung (bezahlt),47,,2
187,221,Directed,Geschäftsbeziehung (bezahlt),48,,2
187,222,Directed,Geschäftsbeziehung (bezahlt),49,,2
187,273,Directed,Geschäftsbeziehung (bezahlt),50,,2
187,274,Directed,Geschäftsbeziehung (bezahlt),51,,2
187,275,Directed,Geschäftsbeziehung (bezahlt),52,,2
187,276,Directed,Geschäftsbeziehung (bezahlt),53,,2
1,187,Undirected,Bürgermeister (Amt im Amt),54,,4
2,187,Undirected,Bürgermeister (Amt im Amt),55,,4
119,187,Undirected,Bürgermeister (Amt im Amt),56,,4
449,187,Undirected,Bürgermeister (Amt im Amt),57,,4
