Source,Target,Type,Kind,Id,Label,Weight,background_map_edge
1,2,Directed,Amtsstadt von,2,,5,
1,3,Directed,Amtsstadt von,3,,5,
1,4,Directed,Amtsstadt von,4,,5,
1,5,Directed,Amtsstadt von,6,,5,
1,6,Directed,Amtsstadt von,7,,5,
1,7,Directed,Amtsstadt von,8,,5,
1,8,Directed,Amtsstadt von,9,,5,
1,9,Directed,Amtsstadt von,10,,5,
1,10,Directed,Amtsstadt von,11,,5,
1,18,Directed,Amtsstadt von,12,,5,
2,1,Directed,Amtsort von,13,,5,
3,1,Directed,Amtsort von,14,,5,
4,1,Directed,Amtsort von,15,,5,
5,1,Directed,Amtsort von,16,,5,
6,1,Directed,Amtsort von,17,,5,
7,1,Directed,Amtsort von,18,,5,
8,1,Directed,Amtsort von,19,,5,
9,1,Directed,Amtsort von,20,,5,
10,1,Directed,Amtsort von,21,,5,
0,1,Directed,Burg/Festung bei,22,,1,
14,14,Directed,Burg/Festung bei,23,,1,
1,48,Directed,Amtsstadt von,24,,5,
48,1,Directed,Amtsort von,25,,5,
24,25,Directed,Amtsort von,26,,5,
25,24,Directed,Amtsstadt von,27,,5,
11,35,Directed,Amtsstadt von,28,,5,
35,11,Directed,Amtsort von,29,,5,
16,37,Directed,Amtsstadt von,30,,5,
37,16,Directed,Amtsort von,31,,5,
38,25,Directed,Amtsort von,35,,5,
25,38,Directed,Amtsstadt von,34,,5,
39,30,Directed,Amtsort von,36,,5,
30,39,Directed,Amtsstadt von,37,,5,
25,54,Directed,Amtsstadt von,38,,5,
54,25,Directed,Amtsort von,39,,5,
55,27,Directed,Amtsort von,40,,5,
27,55,Directed,Amtsstadt von,41,,5,
41,61,Directed,Amtsstadt von,42,,5,
61,41,Directed,Amtsort von,43,,5,
62,19,Directed,Amtsort von,44,,5,
19,62,Directed,Amtsstadt von,45,,5,
11,63,Directed,Amtsstadt von,46,,5,
63,11,Directed,Amtsort von,47,,5,
69,30,Directed,Amtsort von,48,,5,
30,69,Directed,Amtsstadt von,49,,5,
1,11,Undirected,selbe Hierarchieebene im Herzogtum,51,,2,
1,12,Undirected,selbe Hierarchieebene im Herzogtum,52,,2,
1,13,Undirected,selbe Hierarchieebene im Herzogtum,54,,2,
1,14,Undirected,selbe Hierarchieebene im Herzogtum,56,,2,
1,16,Undirected,selbe Hierarchieebene im Herzogtum,57,,2,
1,19,Undirected,selbe Hierarchieebene im Herzogtum,58,,2,
1,20,Undirected,selbe Hierarchieebene im Herzogtum,59,,2,
1,22,Undirected,selbe Hierarchieebene im Herzogtum,60,,2,
1,23,Undirected,selbe Hierarchieebene im Herzogtum,61,,2,
1,25,Undirected,selbe Hierarchieebene im Herzogtum,62,,2,
1,26,Undirected,selbe Hierarchieebene im Herzogtum,63,,2,
1,28,Undirected,selbe Hierarchieebene im Herzogtum,64,,2,
1,29,Undirected,selbe Hierarchieebene im Herzogtum,65,,2,
1,30,Undirected,selbe Hierarchieebene im Herzogtum,66,,2,
1,33,Undirected,selbe Hierarchieebene im Herzogtum,67,,2,
1,34,Undirected,selbe Hierarchieebene im Herzogtum,68,,2,
1,41,Undirected,selbe Hierarchieebene im Herzogtum,69,,2,
1,42,Undirected,selbe Hierarchieebene im Herzogtum,70,,2,
1,46,Undirected,selbe Hierarchieebene im Herzogtum,71,,2,
1,47,Undirected,selbe Hierarchieebene im Herzogtum,72,,2,
1,57,Undirected,selbe Hierarchieebene im Herzogtum,73,,2,
1,58,Undirected,selbe Hierarchieebene im Herzogtum,74,,2,
1,59,Undirected,selbe Hierarchieebene im Herzogtum,75,,2,
1,60,Undirected,selbe Hierarchieebene im Herzogtum,76,,2,
1,65,Undirected,selbe Hierarchieebene im Herzogtum,77,,2,
64,1,Undirected,Herkunftsort von Besuchern/Vertretern von,78,,3,
49,1,Undirected,Herkunftsort von Besuchern/Vertretern von,79,,3,
50,1,Undirected,Herkunftsort von Besuchern/Vertretern von,80,,3,
51,1,Undirected,Herkunftsort von Besuchern/Vertretern von,81,,3,
15,1,Undirected,Herkunftsort von Besuchern/Vertretern von,82,,3,
1,2,Undirected,Sehr nah (<10km),83,,4,
1,3,Undirected,Sehr nah (<10km),84,,4,
1,4,Undirected,Sehr nah (<10km),85,,4,
1,5,Undirected,Sehr nah (<10km),86,,4,
1,6,Undirected,Sehr nah (<10km),87,,4,
1,7,Undirected,Sehr nah (<10km),88,,4,
1,8,Undirected,Sehr nah (<10km),89,,4,
1,9,Undirected,Sehr nah (<10km),90,,4,
1,10,Undirected,Sehr nah (<10km),91,,4,
1,18,Undirected,Sehr nah (<10km),92,,4,
1,48,Undirected,Sehr nah (<10km),93,,4,
1,11,Undirected,Sehr nah (<10km),94,,4,
1,16,Undirected,Sehr nah (<10km),95,,4,
1,24,Undirected,Sehr nah (<10km),96,,4,
1,0,Undirected,Sehr nah (<10km),97,,4,
1,38,Undirected,Sehr nah (<10km),98,,4,
1,40,Undirected,Sehr nah (<10km),99,,4,
1,25,Undirected,Nah (10-20km),100,,3,
1,28,Undirected,Nah (10-20km),101,,3,
1,32,Undirected,Nah (10-20km),102,,3,
1,33,Undirected,Nah (10-20km),103,,3,
1,34,Undirected,Nah (10-20km),104,,3,
1,35,Undirected,Nah (10-20km),105,,3,
1,37,Undirected,Nah (10-20km),106,,3,
1,52,Undirected,Nah (10-20km),107,,3,
1,54,Undirected,Nah (10-20km),108,,3,
1,63,Undirected,Nah (10-20km),109,,3,
1,69,Undirected,Nah (10-20km),110,,3,
1,12,Undirected,Mittelweit entfernt (20-50km),111,,2,
1,15,Undirected,Mittelweit entfernt (20-50km),112,,2,
1,19,Undirected,Mittelweit entfernt (20-50km),113,,2,
1,20,Undirected,Mittelweit entfernt (20-50km),114,,2,
1,23,Undirected,Mittelweit entfernt (20-50km),115,,2,
1,26,Undirected,Mittelweit entfernt (20-50km),116,,2,
1,27,Undirected,Mittelweit entfernt (20-50km),117,,2,
1,30,Undirected,Mittelweit entfernt (20-50km),118,,2,
1,39,Undirected,Mittelweit entfernt (20-50km),119,,2,
1,41,Undirected,Mittelweit entfernt (20-50km),120,,2,
1,42,Undirected,Mittelweit entfernt (20-50km),121,,2,
1,43,Undirected,Mittelweit entfernt (20-50km),122,,2,
1,44,Undirected,Mittelweit entfernt (20-50km),123,,2,
1,45,Undirected,Mittelweit entfernt (20-50km),124,,2,
1,46,Undirected,Mittelweit entfernt (20-50km),125,,2,
1,47,Undirected,Mittelweit entfernt (20-50km),126,,2,
1,53,Undirected,Mittelweit entfernt (20-50km),127,,2,
1,55,Undirected,Mittelweit entfernt (20-50km),128,,2,
1,57,Undirected,Mittelweit entfernt (20-50km),129,,2,
1,61,Undirected,Mittelweit entfernt (20-50km),130,,2,
1,62,Undirected,Mittelweit entfernt (20-50km),131,,2,
1,22,Undirected,Weit entfernt (>50km),132,,1,
1,29,Undirected,Weit entfernt (>50km),133,,1,
1,58,Undirected,Weit entfernt (>50km),134,,1,
1,59,Undirected,Weit entfernt (>50km),135,,1,
1,60,Undirected,Weit entfernt (>50km),136,,1,
1,65,Undirected,Weit entfernt (>50km),137,,1,
1,67,Undirected,Außerhalb des Herzogtums,138,,1,
1,13,Undirected,Außerhalb des Herzogtums,139,,1,
1,14,Undirected,Außerhalb des Herzogtums,140,,1,
1,17,Undirected,Außerhalb des Herzogtums,141,,1,
1,21,Undirected,Außerhalb des Herzogtums,142,,1,
1,31,Undirected,Außerhalb des Herzogtums,143,,1,
1,36,Undirected,Außerhalb des Herzogtums,144,,1,
1,49,Undirected,Außerhalb des Herzogtums,145,,1,
1,50,Undirected,Außerhalb des Herzogtums,146,,1,
1,51,Undirected,Außerhalb des Herzogtums,147,,1,
1,56,Undirected,Außerhalb des Herzogtums,148,,1,
1,64,Undirected,Außerhalb des Herzogtums,149,,1,
1,66,Undirected,Außerhalb des Herzogtums,150,,1,
1,68,Undirected,Außerhalb des Herzogtums,151,,1,
15,1,Directed,Residenzstadt des Herzogtums,152,,1,
15,2,Directed,Residenzstadt des Herzogtums,153,,1,
15,3,Directed,Residenzstadt des Herzogtums,154,,1,
15,4,Directed,Residenzstadt des Herzogtums,155,,1,
15,5,Directed,Residenzstadt des Herzogtums,156,,1,
15,6,Directed,Residenzstadt des Herzogtums,157,,1,
15,7,Directed,Residenzstadt des Herzogtums,158,,1,
15,8,Directed,Residenzstadt des Herzogtums,159,,1,
15,9,Directed,Residenzstadt des Herzogtums,160,,1,
15,10,Directed,Residenzstadt des Herzogtums,161,,1,
15,11,Directed,Residenzstadt des Herzogtums,162,,1,
15,12,Directed,Residenzstadt des Herzogtums,163,,1,
15,16,Directed,Residenzstadt des Herzogtums,164,,1,
15,18,Directed,Residenzstadt des Herzogtums,165,,1,
15,19,Directed,Residenzstadt des Herzogtums,166,,1,
15,20,Directed,Residenzstadt des Herzogtums,167,,1,
15,22,Directed,Residenzstadt des Herzogtums,168,,1,
15,23,Directed,Residenzstadt des Herzogtums,169,,1,
15,24,Directed,Residenzstadt des Herzogtums,170,,1,
15,25,Directed,Residenzstadt des Herzogtums,171,,1,
15,26,Directed,Residenzstadt des Herzogtums,172,,1,
15,28,Directed,Residenzstadt des Herzogtums,173,,1,
15,29,Directed,Residenzstadt des Herzogtums,174,,1,
15,30,Directed,Residenzstadt des Herzogtums,175,,1,
15,32,Directed,Residenzstadt des Herzogtums,176,,1,
15,33,Directed,Residenzstadt des Herzogtums,177,,1,
15,34,Directed,Residenzstadt des Herzogtums,178,,1,
15,35,Directed,Residenzstadt des Herzogtums,179,,1,
15,37,Directed,Residenzstadt des Herzogtums,180,,1,
15,38,Directed,Residenzstadt des Herzogtums,181,,1,
15,39,Directed,Residenzstadt des Herzogtums,182,,1,
15,40,Directed,Residenzstadt des Herzogtums,183,,1,
15,41,Directed,Residenzstadt des Herzogtums,184,,1,
15,42,Directed,Residenzstadt des Herzogtums,185,,1,
15,43,Directed,Residenzstadt des Herzogtums,186,,1,
15,44,Directed,Residenzstadt des Herzogtums,187,,1,
15,45,Directed,Residenzstadt des Herzogtums,188,,1,
15,46,Directed,Residenzstadt des Herzogtums,189,,1,
15,47,Directed,Residenzstadt des Herzogtums,190,,1,
15,48,Directed,Residenzstadt des Herzogtums,191,,1,
15,52,Directed,Residenzstadt des Herzogtums,192,,1,
15,53,Directed,Residenzstadt des Herzogtums,193,,1,
15,54,Directed,Residenzstadt des Herzogtums,194,,1,
15,55,Directed,Residenzstadt des Herzogtums,195,,1,
15,57,Directed,Residenzstadt des Herzogtums,196,,1,
15,58,Directed,Residenzstadt des Herzogtums,197,,1,
15,59,Directed,Residenzstadt des Herzogtums,198,,1,
15,60,Directed,Residenzstadt des Herzogtums,199,,1,
15,61,Directed,Residenzstadt des Herzogtums,200,,1,
15,62,Directed,Residenzstadt des Herzogtums,201,,1,
