"Name","Address","Description","Longitude","Latitude","TimeStamp","TimeSpan:begin","TimeSpan:end","GettyID","",
"","Burg Hohenneuffen","","9.4","48.55","","","","7159400","",
"","Neuffen","","9.3882","48.5561","","","","1040451","",
"","Beuren","","9.4","48.566667","","","","7214482","",
"","Frickenhausen","","9.366667","48.6","","","","7180249","",
"","Grabenstetten","","9.466667","48.516667","","","","7186645","",
"","Großbettlingen","","9.3","48.6","","","","7173738","",
"","Linsenhofen","","9.366667","48.583333","","","","7141467","",
"","Erkenbrechtsweiler","","9.433333","48.55","","","","7188290","",
"","Balzholz","","9.383333","48.566667","","","","7210745","",
"","Kleinbettlingen","","9.283333","48.583333","","","","7155868","",
"","Kohlberg","","9.30387781620626","48.56583010558816","","","","7143938","",
"","Tischardt","","9.316667","48.566667","","","","7069892","",
"","(Bad) Urach","","9.4","48.5","","","","1038386","",
"","Schorndorf","","9.533333","48.8","","","","1041140","",
"","Ettlingen","","8.4","48.95","","","","7012448","",
"","Philippsburg","","8.456389","49.235833","","","","7119331","",
"","Stuttgart","","9.666667","49.083333","","","","7075017","",
"","Nürtingen","","9.35","48.633333","","","","1040389","",
"","Mömpelgard (Montbéliard, Frankreich)","","6.798629","47.510316","","","","7009347","",
"","Grafenberg","","9.30387781620626","48.56583010558816","","","","7143938","",
"","Münsingen","","9.5","48.416667","","","","1040213","",
"","Asperg","","9.116667","48.9","","","","1038246","",
"","Freudenstadt","","8.458889","48.476944","","","","7191041","",
"","Bad Cannstatt","","9.2","48.8","","","","7005960","",
"","Owen","","9.45","48.583333","","","","1040683","",
"","Kirchheim (unter Teck)","","9.45","48.65","","","","7012533","",
"","Bietigheim","","9.116667","48.95","","","","7212251","",
"","Ludwigsburg","","9.183333","48.9","","","","7012585","",
"","Pfullingen","","9.233333","48.45","","","","7012655","",
"","Neuenbürg","","8.720278","49.153889","","","","7122902","",
"","Göppingen","","9.666667","48.7","","","","7012466","",
"","Neuler","","10.066667","48.933333","","","","7125303","",
"","Neidling","","9.566667","48.583333","","","","7133298","",
"","Köngen","","9.366667","48.683333","","","","7144545","",
"","Denkendorf","","9.318538113199745","48.697607322207176","","","","7194581","",
"","Seeburg","","9.45","48.45","","","","7094524","",
"","Weiltingen","","10.45","49.033333","","","","7087734","",
"","Wolfschlugen","","9.283333","48.65","","","","7079223","",
"","Dettingen (unter Teck)","","9.45","48.616667","","","","7018641","",
"","Ebersbach","","9.533333","48.716667","","","","1038884","",
"","Metzingen","","9.266667","48.533333","","","","1040334","",
"","Böblingen","","9.016667","48.683333","","","","1038268","",
"","Herrenberg","","8.866667","48.6","","","","7012504","",
"","Waldenbuch","","9.133333","48.633333","","","","1041626","",
"","Blaubeuren","","9.783333","48.4","","","","7005173","",
"","Adelberg","","9.6","48.766667","","","","7215528","",
"","Waiblingen","","9.3","48.833333","","","","7012751","",
"","Winnenden","","9.4","48.883333","","","","1041842","",
"","Kappishäusern","","9.333333","48.55","","","","7154103","",
"","Schlotheim","","10.666667","51.25","","","","1037687","",
"","Templin","","13.5","53.116667","","","","1037826","",
"","Schwäbisch Gmünd","","9.783333","48.8","","","","7012707","",
"","Grafeneck","","9.43271083395107","48.39454999501535","","","","7185838","",
"","Eglingen","","9.433333","48.35","","","","7198387","",
"","Schlierbach","","9.516667","48.666667","","","","7105665","",
"","Kornwestheim","","9.183333","48.866667","","","","7012539","",
"","Esslingen","","9.363333","48.669167","","","","7188440","",
"","Nagold","","8.7","48.866667","","","","7135599","",
"","Tuttlingen","","8.800556","48.003889","","","","7075011","",
"","Maulbronn","","8.807778","49.000833","","","","7005180","",
"","Dornstetten","","10.866667","47.983333","","","","7194619","",
"","Sindelfingen","","9.016667","48.7","","","","1041235","",
"","Gomadingen","","9.43271083395107","48.39454999501535","","","","7185838","",
"","Upfingen","","9.383333","48.45","","","","7092806","",
"","Salzburg","","13.05","47.8","","","","7003256","",
"","Heidenheim (an der Brenz)","","10.15","48.683333","","","","7012419","",
"","Ulm","","9.962222","48.387222","","","","7077329","",
"","Freiburg","","7.85","48","","","","1003143","",
"","Donauwörth","","10.8","48.7","","","","7012429","",
"","Reichenbach (an der Fils)","","9.466667","48.716667","","","","7110950","",
